video;train_type
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613002939.mp4;Trieb
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613011522.mp4;Lok
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613023131.mp4;Lok
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613030138.mp4;Lok
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613051116.mp4;Lok
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613055602.mp4;Lok
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613060817.mp4;Trieb
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613061935.mp4;Lok
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613062342.mp4;Lok
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613063248.mp4;Lok
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613064437.mp4;Lok
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613065837.mp4;Trieb
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613072319.mp4;Lok
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613072732.mp4;Lok
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613075025.mp4;Trieb
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613080205.mp4;Trieb
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613080539.mp4;Trieb
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613081704.mp4;Trieb
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613082746.mp4;Trieb
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613083322.mp4;Lok
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613084603.mp4;Trieb
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613090345.mp4;Lok
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613090729.mp4;Trieb
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613091442.mp4;Trieb
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613092304.mp4;Trieb
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613092614.mp4;Lok
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613093420.mp4;Lok
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613095122.mp4;Lok
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613095833.mp4;Trieb
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613100745.mp4;Trieb
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613101414.mp4;Trieb
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613102901.mp4;Trieb
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613103156.mp4;Lok
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613104536.mp4;Lok
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613110026.mp4;Trieb
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613112157.mp4;Trieb
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613112716.mp4;Lok
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613115017.mp4;Trieb
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613115817.mp4;Trieb
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613120050.mp4;Trieb
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613122503.mp4;Lok
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613124142.mp4;Trieb
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613124559.mp4;Trieb
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613125456.mp4;Trieb
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613125954.mp4;Trieb
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613131439.mp4;Trieb
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613132449.mp4;Lok
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613134238.mp4;Trieb
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613134516.mp4;Trieb
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613135833.mp4;Trieb
c:\git\RailwAI\VIDEO\20260613\ADTC Rastatt_00_20260613140233.mp4;Lok
