video;train_type
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305000740.mp4;RABe 511
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305002251.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305044423.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305045621.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305053739.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305054610.mp4;unknown
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305055356.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305060715.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305062315.mp4;DPZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305063105.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305065438.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305070131.mp4;RABe 511 x2
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305072541.mp4;DPZ x3
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305073115.mp4;DTZ x3
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305075512.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305080840.mp4;EC/IC/IR x10
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305082645.mp4;DPZ x2
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305083716.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305085421.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305090915.mp4;DTZ x3
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305092610.mp4;DPZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305093059.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305095306.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305100143.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305102428.mp4;DPZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305103051.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305105454.mp4;DPZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305110727.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305112324.mp4;DPZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305113726.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305115259.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305120731.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305122457.mp4;DPZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305123111.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305125421.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305130738.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305132522.mp4;DPZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305135409.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305140724.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305142356.mp4;DPZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305143059.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305145439.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305150719.mp4;DTZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305152416.mp4;DPZ
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305153741.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260305\ADTC Rueschlikon_00_20260305155256.mp4;DTZ
