video;train_type
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307000711.mp4;RABe 511
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307002229.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307003729.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307014510.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307024516.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307034504.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307044414.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307045617.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307053940.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307054532.mp4;RABe 511
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307055312.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307060811.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307062312.mp4;RABe 511
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307063057.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307065531.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307070725.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307072322.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307073712.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307075323.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307080757.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307082418.mp4;RABe 511
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307083830.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307085506.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307090912.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307092443.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307093749.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307095303.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307101025.mp4;DTZ
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307102413.mp4;RABe 511
c:\git\RailwAI\VIDEO\20260307\ADTC Rueschlikon_00_20260307103712.mp4;DTZ
