video;train_type
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304142327.mp4;DPZ
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304143735.mp4;DTZ
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304145421.mp4;DTZ
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304150721.mp4;DTZ
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304152314.mp4;DPZ
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304153833.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304155336.mp4;DTZ
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304160801.mp4;DTZ x3
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304162453.mp4;DPZ x2
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304163728.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304165355.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304170720.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304172423.mp4;DPZ x2
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304173055.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304175450.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304180800.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304182422.mp4;DPZ x2
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304183714.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304185431.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304191018.mp4;RABe 511 x2
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304192522.mp4;DPZ x2
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304193718.mp4;DTZ x2
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304195326.mp4;DTZ
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304200746.mp4;DTZ
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304202429.mp4;DPZ
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304203110.mp4;DTZ
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304205433.mp4;DTZ
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304210722.mp4;DTZ
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304212510.mp4;DPZ
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304213735.mp4;DTZ
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304215311.mp4;DTZ
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304220729.mp4;DTZ
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304222333.mp4;DTZ
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304223758.mp4;DTZ
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304225220.mp4;DTZ
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304230735.mp4;DTZ
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304232256.mp4;DPZ
c:\git\RailwAI\VIDEO\20260304\ADTC Rueschlikon_00_20260304233735.mp4;DTZ
