video;train_type
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611000026.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611002737.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611003827.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611004608.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611005733.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611010159.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611010616.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611011036.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611022556.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611025558.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611032909.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611033832.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611034854.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611042443.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611043010.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611050854.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611051259.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611054118.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611060743.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611062341.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611062643.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611063911.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611065907.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611071840.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611073109.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611073433.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611073918.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611075155.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611075434.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611080206.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611081513.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611082139.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611082854.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611083809.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611085833.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611090235.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611091309.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611092333.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611092634.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611100109.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611100457.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611100810.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611101948.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611102646.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611103136.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611104304.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611110416.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611111339.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611112343.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611114352.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611114926.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611115255.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611115915.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611120332.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611122731.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611124147.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611124553.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611125128.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611125412.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611131600.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611132951.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611133704.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611140113.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611140546.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611140904.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611142407.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611142741.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611143114.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611145529.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611150424.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611151637.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611152423.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611153217.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611153608.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611154454.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611154822.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611155323.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611155704.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611160122.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611162123.mp4;Trieb
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611162603.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611163804.mp4;Lok
c:\git\RailwAI\VIDEO\20260611\ADTC Rastatt_00_20260611164407.mp4;Lok
