video;train_type
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615002742.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615003256.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615004000.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615005417.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615010142.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615014209.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615042019.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615043000.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615051253.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615053423.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615054029.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615061008.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615061255.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615061621.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615062647.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615063740.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615064303.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615064704.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615070149.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615071915.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615072412.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615073300.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615075042.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615075432.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615080524.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615081620.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615082438.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615082927.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615090615.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615091103.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615092500.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615092932.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615100254.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615100531.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615100833.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615102230.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615102604.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615102912.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615110035.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615110518.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615111425.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615112547.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615114251.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615115228.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615115908.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615121404.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615123019.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615125651.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615130246.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615131901.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615132632.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615132947.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615134816.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615135202.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615135838.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615140225.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615141717.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615142231.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615142738.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615145359.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615151232.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615151749.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615152433.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615152754.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615153243.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615153820.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615154229.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615154542.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615154812.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615155231.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615160133.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615160545.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615160844.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615162009.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615162548.mp4;Lok
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615163221.mp4;Trieb
c:\git\RailwAI\VIDEO\20260615\ADTC Rastatt_00_20260615164327.mp4;Lok
