video;train_type
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612001226.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612001851.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612004426.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612005645.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612010124.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612023159.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612040333.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612041846.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612050514.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612051847.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612052318.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612053829.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612055850.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612062245.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612063535.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612063911.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612065938.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612071505.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612072046.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612074513.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612074953.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612080609.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612082116.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612082651.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612085706.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612090215.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612092508.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612092747.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612095902.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612100612.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612100836.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612102423.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612110359.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612112708.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612115349.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612115858.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612122710.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612124301.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612125801.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612130019.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612133029.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612134538.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612135111.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612135854.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612140309.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612140725.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612141005.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612142940.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612145335.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612145828.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612150514.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612152608.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612153115.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612153430.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612153903.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612155245.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612155551.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612160343.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612160714.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612160959.mp4;Trieb
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612161344.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612162450.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612164133.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612165750.mp4;Lok
c:\git\RailwAI\VIDEO\20260612\ADTC Rastatt_00_20260612170109.mp4;Trieb
